sample_id,text,predicted_category,keyword_match_count
1,Hartview Co is rolling out app to enterprise customers this quarter.,Technology,1
2,The real estate industry saw record growth in export volume last quarter.,Uncategorized,0
3,A team of researchers published findings on fossil record in a peer-reviewed journal.,Science,3
4,The mayor's office proposed changes to healthcare reform ahead of the election.,Politics,1
5,A new study links better sleep habits to a lower risk of joint pain.,Health,3
6,Shares of Nexora fell after operating costs missed forecasts.,Business & Finance,2
7,Researchers are testing a treatment for chronic fatigue involving daily walking.,Health,2
8,Public health officials warn that insomnia cases are rising this season.,Health,1
9,Critics gave mixed reviews to singer Theo Banks's latest animated special.,Entertainment,2
10,A breakthrough in materials science could lead to practical uses for exoplanet.,Science,1
11,Astronomers detected a new mineral deposit using a space-based telescope.,Science,2
12,Travelers are flocking to Driftwood Bay for its beachfront resorts.,Travel,2
13,director Maya Lin discussed the inspiration behind their new album in an interview.,Entertainment,2
14,Bridgeline Corp announced a merger that could reshape the automotive sector.,Business & Finance,1
15,Doctors recommend daily walking as part of managing joint pain.,Health,2
16,Quanta Labs announced it will open-source its laptop battery toolkit.,Technology,3
17,Engineers at Veltrix unveiled a app update focused on accessibility.,Technology,2
18,The Riverside Hawks signed Jamal Carter to a multi-year contract extension.,Sports,1
19,Travelers are flocking to Driftwood Bay for its historic landmarks.,Travel,1
20,The Coastal Titans secured a last-minute win over their Valley Sharks rivals.,Sports,1
21,Shares of Nexora fell after revenue missed forecasts.,Business & Finance,3
22,Negotiations over climate regulations stalled after disagreements between parties.,Politics,1
23,The new stage musical from singer Theo Banks topped the charts in its opening week.,Entertainment,2
24,A new guide highlights the best national parks to experience in Bellamare.,Travel,2
25,Experts say strength training alone is not enough to prevent anxiety disorders.,Health,1
26,Reviews praise Calderbrook's local food markets as a top reason to visit.,Travel,1
27,A new poll shows shifting public opinion on tax policy in the western province.,Politics,1
28,Northcairn is seeing a surge in tourism after new beachfront resorts were introduced.,Travel,2
29,Reviews praise Driftwood Bay's museums as a top reason to visit.,Travel,2
30,A clinical trial found that regular exercise reduced symptoms of insomnia in adults.,Health,4
31,A new guide highlights the best waterfront promenades to experience in Porto Vale.,Travel,2
32,Ticket sales surged ahead of the Valley Sharks versus Lakeside Bears championship game.,Sports,2
33,The latest app update adds AI-assisted voice recognition suggestions.,Technology,3
34,Experts say a Mediterranean diet alone is not enough to prevent anxiety disorders.,Health,2
35,A team of researchers published findings on exoplanet in a peer-reviewed journal.,Science,2
36,Airlines added more routes to Lake Senna ahead of the busy season.,Travel,2
37,A clinical trial found that daily walking reduced symptoms of chronic fatigue in adults.,Health,3
38,Protesters gathered outside the county commission to oppose the immigration policy plan.,Politics,1
39,Engineers at Hartview Co unveiled a laptop update focused on storage.,Technology,3
40,A new study links strength training to a lower risk of heart disease.,Health,2
41,Travelers are flocking to Driftwood Bay for its local food markets.,Travel,1
42,Nutritionists explain how strength training affects long-term type 2 diabetes risk.,Health,2
43,A new poll shows shifting public opinion on immigration policy in the border region.,Politics,1
44,Critics gave mixed reviews to showrunner Dana Webb's latest animated special.,Entertainment,2
45,A new study links a Mediterranean diet to a lower risk of seasonal flu.,Health,3
46,Voters in the western province will decide on a housing policy measure this fall.,Politics,1
47,A field study tracked gravitational signal patterns over the past decade in neuroscience.,Science,2
48,The new animated special from producer Alex Kim topped the charts in its opening week.,Entertainment,1
49,Solara Systems announced it will open-source its app processing speed toolkit.,Technology,3
50,The mayor's office signed an order addressing healthcare reform concerns.,Uncategorized,0
51,A new guide highlights the best hiking trails to experience in Isla Verde.,Travel,2
52,Engineers at Veltrix unveiled a cloud platform update focused on security.,Technology,2
53,A field study tracked fossil record patterns over the past decade in paleontology.,Science,2
54,Officials clashed over funding for climate regulations during the budget hearing.,Politics,2
55,Eli Robinson scored a career-high total in the Valley Sharks victory.,Sports,2
56,The mayor's office proposed changes to minimum wage ahead of the election.,Politics,1
57,Investors are watching stock buybacks closely ahead of the central bank meeting.,Business & Finance,3
58,Reviews praise Northcairn's historic landmarks as a top reason to visit.,Travel,1
59,Critics gave mixed reviews to showrunner Dana Webb's latest stage musical.,Entertainment,2
60,Doctors recommend a low-sodium diet as part of managing high blood pressure.,Health,3
61,"Award nominations were announced, with showrunner Dana Webb's film leading the pack.",Entertainment,3
62,Funding for materials science research focused on ocean current pattern was increased this year.,Politics,1
63,The Valley Sharks coach defended the team's strategy after the loss to Union Stars.,Sports,1
64,Scientists say the gravitational signal could change how we understand neuroscience.,Science,2
65,A clinical trial found that reduced screen time reduced symptoms of high blood pressure in adults.,Health,3
66,Northfield Inc announced it will open-source its smartphone processing speed toolkit.,Technology,3
67,Nutritionists explain how intermittent fasting affects long-term chronic fatigue risk.,Health,2
68,"Award nominations were announced, with studio Pinegrove's novel adaptation leading the pack.",Entertainment,3
69,The airline industry saw record growth in revenue last quarter.,Business & Finance,1
70,The documentary starring author R. Castillo broke streaming records over the weekend.,Entertainment,2
71,Local officials in Northcairn are investing in local food markets for visitors.,Travel,1
72,Reviewers say the app improves accessibility but battery life suffers.,Technology,2
73,Developers are migrating to browser for better storage support.,Technology,3
74,Investors are watching quarterly sales closely ahead of the central bank meeting.,Business & Finance,3
75,The animated special starring comedian Greg Adler broke streaming records over the weekend.,Entertainment,3
76,Injuries have forced the Coastal Titans to rethink their lineup for the playoffs.,Sports,3
77,The Riverside Hawks signed Sam Whitfield to a multi-year contract extension.,Sports,1
78,Analysts raised their price target for Bridgeline Corp citing strong stock buybacks.,Business & Finance,3
79,Hartview Co announced it will open-source its chip accessibility toolkit.,Technology,2
80,Reviews praise Northcairn's guided tours as a top reason to visit.,Travel,3
81,Engineers at Northfield Inc unveiled a laptop update focused on storage.,Technology,3
82,The federal agency signed an order addressing healthcare reform concerns.,Uncategorized,0
83,The soundtrack for showrunner Dana Webb's album was released ahead of schedule.,Entertainment,3
84,Northfield Inc announced a merger that could reshape the real estate sector.,Business & Finance,1
85,Engineers at Quanta Labs unveiled a cloud platform update focused on processing speed.,Technology,3
86,"Award nominations were announced, with author R. Castillo's stage musical leading the pack.",Entertainment,2
87,Experts caution that more data is needed to confirm the exoplanet.,Uncategorized,0
88,Developers are migrating to software suite for better processing speed support.,Technology,3
89,Driftwood Bay introduced new rules affecting museums for tourists.,Travel,1
90,Airlines added more routes to Isla Verde ahead of the busy season.,Travel,2
91,Porto Vale is seeing a surge in tourism after new historic landmarks were introduced.,Travel,1
92,The film starring band The Hollow Pines broke streaming records over the weekend.,Entertainment,2
93,Eli Robinson scored a career-high total in the Summit Eagles victory.,Sports,2
94,A new poll shows shifting public opinion on minimum wage in the northern district.,Politics,1
